Age,Height,Weight,Sex
23.0,177.0,68.0,1
27.0,177.0,68.0,1
31.0,177.0,68.0,1
21.0,179.0,63.0,1
19.0,156.0,46.0,0
22.0,179.0,72.0,1
27.0,160.0,78.0,0
19.0,169.0,62.0,1
24.0,173.0,53.0,0
27.0,162.0,56.0,0
25.0,172.0,82.0,1
29.0,172.0,82.0,1
27.0,168.0,60.0,0
31.0,168.0,60.0,0
24.0,159.0,54.0,0
35.0,170.0,68.0,1
28.0,159.0,54.0,1
32.0,159.0,54.0,1
22.0,150.0,43.0,0
26.0,164.0,58.0,0
29.0,163.0,48.0,1
21.0,175.0,75.0,0
22.0,169.0,68.0,1
26.0,169.0,68.0,1
30.0,169.0,68.0,1
19.0,182.0,68.0,1
19.0,161.0,62.0,1
24.0,161.0,62.0,1
24.0,174.0,62.0,0
23.0,182.0,78.0,0
20.0,176.0,70.0,1
17.0,170.0,53.0,0
22.0,190.0,78.0,1
26.0,175.0,61.0,1
19.0,169.0,60.0,0
17.0,166.0,60.0,0
25.0,168.0,59.0,1
30.0,197.0,92.0,1
27.0,210.0,88.0,1
28.0,170.0,64.0,1
32.0,170.0,64.0,1
24.0,175.0,74.0,1
25.0,186.0,86.0,1
33.0,186.0,86.0,1
41.0,186.0,86.0,1
27.0,188.0,85.0,1
29.0,205.0,102.0,1
20.0,168.0,54.0,1
30.0,181.0,76.0,1
30.0,182.0,79.0,1
22.0,187.0,82.0,1
30.0,187.0,82.0,1
21.0,170.0,48.0,1
20.0,171.0,65.0,1
21.0,190.0,65.0,1
25.0,190.0,65.0,1
22.0,170.0,51.0,1
22.0,178.0,67.0,1
31.0,180.0,64.0,1
28.0,183.0,85.0,1
21.0,188.0,87.0,1
25.0,188.0,87.0,1
26.0,178.0,81.0,1
33.0,182.0,77.0,1
22.0,193.0,78.0,1
24.0,174.0,68.0,0
25.0,186.0,84.0,1
21.0,192.0,88.0,1
25.0,192.0,88.0,1
17.0,175.0,64.0,1
21.0,175.0,64.0,1
19.0,170.0,62.0,0
33.0,178.0,61.0,1
19.0,167.0,53.0,0
23.0,167.0,53.0,0
27.0,167.0,53.0,0
31.0,167.0,53.0,0
21.0,180.0,70.0,0
25.0,191.0,84.0,1
29.0,191.0,84.0,1
33.0,191.0,84.0,1
29.0,178.0,68.0,1
23.0,173.0,65.0,1
20.0,183.0,75.0,1
19.0,183.0,87.0,1
23.0,183.0,87.0,1
26.0,162.0,67.0,1
24.0,190.0,88.0,1
28.0,190.0,88.0,1
24.0,187.0,77.0,1
22.0,172.0,61.0,1
28.0,180.0,72.0,1
33.0,180.0,72.0,1
24.0,185.0,81.0,1
21.0,193.0,87.0,1
17.0,176.0,82.0,1
21.0,176.0,82.0,1
25.0,176.0,82.0,1
28.0,182.0,95.0,0
17.0,180.0,82.0,1
21.0,180.0,82.0,1
25.0,180.0,82.0,1
22.0,181.0,80.0,1
26.0,181.0,80.0,1
16.0,167.0,43.0,0
31.0,175.0,70.0,1
23.0,181.0,84.0,1
27.0,181.0,84.0,1
24.0,180.0,100.0,1
24.0,176.0,70.0,1
30.0,164.0,59.0,1
25.0,198.0,89.0,1
34.0,180.0,94.0,1
23.0,173.0,61.0,1
21.0,172.0,63.0,0
24.0,171.0,60.0,0
23.0,167.0,65.0,0
27.0,167.0,65.0,0
29.0,180.0,72.0,1
27.0,182.0,96.0,1
19.0,163.0,53.0,0
32.0,180.0,70.0,1
31.0,186.0,115.0,1
20.0,176.0,68.0,1
24.0,176.0,68.0,1
28.0,176.0,68.0,1
21.0,183.0,72.0,1
25.0,183.0,72.0,1
26.0,174.0,68.0,1
19.0,187.0,81.0,1
22.0,172.0,70.0,1
26.0,184.0,73.0,1
21.0,183.0,84.0,1
27.0,183.0,84.0,1
31.0,183.0,84.0,1
22.0,183.0,73.0,1
20.0,160.0,54.0,1
26.0,185.0,75.0,1
20.0,159.0,64.0,1
40.0,188.0,73.0,1
18.0,176.0,78.0,1
23.0,200.0,88.0,1
24.0,177.0,71.0,1
15.0,177.0,64.0,1
19.0,177.0,64.0,1
24.0,174.0,68.0,1
34.0,164.0,52.0,0
38.0,164.0,52.0,0
22.0,162.0,50.0,0
23.0,198.0,93.0,1
21.0,180.0,70.0,1
26.0,164.0,51.0,0
20.0,188.0,77.0,0
28.0,188.0,77.0,0
22.0,168.0,68.0,1
23.0,180.0,68.0,1
27.0,180.0,68.0,1
31.0,180.0,68.0,1
35.0,180.0,68.0,1
21.0,168.0,62.0,1
24.0,180.0,59.0,1
31.0,178.0,85.0,1
26.0,178.0,61.0,0
25.0,179.0,68.0,1
25.0,160.0,57.0,0
27.0,173.0,74.0,1
27.0,180.0,79.0,1
28.0,168.0,67.0,1
32.0,168.0,67.0,1
33.0,180.0,76.0,1
28.0,172.0,72.0,1
16.0,178.0,69.0,1
19.0,178.0,69.0,1
23.0,165.0,54.0,1
18.0,172.0,63.0,1
22.0,172.0,63.0,1
19.0,157.0,52.0,0
22.0,182.0,75.0,1
24.0,170.0,59.0,1
17.0,150.0,64.0,0
20.0,190.0,80.0,1
21.0,182.0,77.0,1
25.0,182.0,77.0,1
20.0,178.0,68.0,1
18.0,170.0,58.0,0
22.0,148.0,46.0,0
26.0,148.0,46.0,0
23.0,170.0,67.0,1
28.0,183.0,68.0,1
22.0,180.0,70.0,0
23.0,177.0,72.0,1
25.0,163.0,65.0,1
27.0,163.0,51.0,1
28.0,161.0,60.0,1
21.0,189.0,81.0,1
25.0,189.0,81.0,1
20.0,170.0,62.0,1
25.0,168.0,56.0,1
29.0,168.0,56.0,1
14.0,181.0,77.0,1
19.0,185.0,80.0,1
27.0,175.0,56.0,0
31.0,175.0,56.0,0
21.0,175.0,67.0,1
25.0,175.0,67.0,1
16.0,150.0,40.0,0
22.0,194.0,125.0,1
26.0,194.0,125.0,1
24.0,194.0,104.0,1
24.0,170.0,62.0,0
28.0,170.0,62.0,0
20.0,176.0,82.0,1
24.0,176.0,82.0,1
26.0,176.0,82.0,1
30.0,176.0,82.0,1
34.0,176.0,82.0,1
31.0,190.0,95.0,1
23.0,167.0,58.0,1
23.0,190.0,74.0,1
22.0,160.0,55.0,0
21.0,176.0,67.0,1
22.0,171.0,70.0,1
22.0,175.0,65.0,1
26.0,175.0,65.0,1
18.0,182.0,68.0,1
22.0,179.0,65.0,1
21.0,166.0,70.0,0
23.0,170.0,61.0,0
19.0,158.0,52.0,1
22.0,165.0,64.0,1
21.0,178.0,73.0,1
25.0,178.0,73.0,1
25.0,165.0,68.0,1
23.0,175.0,64.0,1
25.0,169.0,60.0,0
28.0,178.0,78.0,1
20.0,164.0,50.0,0
22.0,186.0,85.0,1
26.0,186.0,85.0,1
34.0,186.0,85.0,1
29.0,208.0,110.0,1
28.0,180.0,68.0,1
25.0,161.0,62.0,1
23.0,163.0,54.0,0
18.0,181.0,73.0,1
24.0,176.0,75.0,1
16.0,168.0,60.0,1
25.0,167.0,52.0,1
29.0,165.0,54.0,1
23.0,174.0,57.0,1
27.0,174.0,57.0,1
31.0,174.0,57.0,1
25.0,188.0,75.0,1
41.0,182.0,98.0,1
25.0,168.0,63.0,0
30.0,168.0,63.0,0
24.0,167.0,52.0,0
19.0,168.0,55.0,1
19.0,190.0,86.0,0
23.0,190.0,86.0,0
28.0,191.0,110.0,1
32.0,191.0,110.0,1
17.0,176.0,45.0,0
20.0,177.0,82.0,1
23.0,184.0,84.0,1
27.0,184.0,84.0,1
28.0,171.0,62.0,1
32.0,171.0,62.0,1
27.0,172.0,72.0,0
31.0,172.0,72.0,0
20.0,159.0,55.0,0
25.0,166.0,61.0,1
18.0,167.0,55.0,0
24.0,179.0,78.0,1
27.0,179.0,68.0,1
26.0,173.0,74.0,1
24.0,191.0,75.0,1
20.0,184.0,69.0,1
24.0,184.0,69.0,1
28.0,184.0,69.0,1
26.0,180.0,70.0,0
22.0,190.0,99.0,1
26.0,190.0,99.0,1
28.0,190.0,99.0,1
24.0,200.0,104.0,1
28.0,200.0,104.0,1
32.0,200.0,104.0,1
18.0,169.0,52.0,0
22.0,175.0,74.0,1
26.0,180.0,81.0,1
30.0,180.0,81.0,1
26.0,173.0,73.0,1
30.0,173.0,73.0,1
29.0,160.0,62.0,1
20.0,168.0,72.0,1
22.0,185.0,61.0,1
20.0,180.0,73.0,1
27.0,164.0,63.0,0
31.0,164.0,63.0,0
24.0,172.0,69.0,0
23.0,188.0,91.0,1
20.0,188.0,78.0,1
16.0,190.0,62.0,0
25.0,182.0,70.0,0
20.0,184.0,70.0,1
29.0,188.0,82.0,1
22.0,177.0,82.0,1
26.0,177.0,82.0,1
21.0,178.0,72.0,1
20.0,168.0,63.0,0
24.0,168.0,63.0,0
21.0,188.0,66.0,0
25.0,188.0,66.0,0
29.0,188.0,66.0,0
33.0,188.0,66.0,0
37.0,188.0,66.0,0
18.0,192.0,89.0,1
22.0,192.0,89.0,1
24.0,173.0,50.0,1
25.0,208.0,109.0,1
23.0,177.0,75.0,1
23.0,162.0,60.0,1
19.0,156.0,56.0,1
23.0,156.0,56.0,1
22.0,179.0,60.0,1
29.0,162.0,51.0,0
25.0,165.0,58.0,0
21.0,172.0,67.0,1
26.0,168.0,67.0,1
28.0,156.0,51.0,0
21.0,187.0,81.0,1
23.0,186.0,100.0,1
27.0,186.0,100.0,1
25.0,189.0,105.0,1
20.0,162.0,60.0,1
20.0,202.0,105.0,1
22.0,190.0,80.0,1
23.0,180.0,71.0,1
27.0,178.0,79.0,1
25.0,187.0,83.0,1
29.0,187.0,83.0,1
27.0,172.0,70.0,1
23.0,162.0,54.0,0
24.0,182.0,82.0,1
33.0,182.0,82.0,1
20.0,183.0,85.0,0
24.0,183.0,85.0,0
24.0,175.0,95.0,1
19.0,173.0,71.0,1
23.0,173.0,71.0,1
35.0,175.0,80.0,1
38.0,175.0,80.0,1
18.0,169.0,61.0,1
30.0,154.0,64.0,1
32.0,175.0,82.0,1
31.0,175.0,73.0,1
30.0,187.0,77.0,1
22.0,179.0,78.0,1
21.0,173.0,80.0,1
25.0,173.0,80.0,1
26.0,190.0,83.0,1
29.0,184.0,77.0,1
33.0,184.0,77.0,1
20.0,187.0,87.0,1
18.0,160.0,52.0,0
22.0,173.0,62.0,0
24.0,173.0,62.0,0
28.0,173.0,62.0,0
25.0,176.0,74.0,1
29.0,176.0,74.0,1
26.0,171.0,69.5,1
30.0,171.0,69.5,1
32.0,172.0,68.0,0
23.0,175.0,71.0,1
23.0,190.0,80.0,1
14.0,172.0,72.0,0
25.0,173.0,64.0,1
29.0,173.0,64.0,1
29.0,163.0,54.0,0
26.0,177.0,70.0,1
16.0,165.0,54.0,0
23.0,180.0,79.0,1
22.0,188.0,78.0,1
27.0,183.0,67.0,1
20.0,173.0,65.0,0
24.0,173.0,65.0,0
30.0,188.0,79.0,1
38.0,177.0,70.0,1
24.0,178.0,95.0,1
22.0,167.0,75.0,1
29.0,178.0,64.0,1
27.0,189.0,70.0,1
31.0,189.0,70.0,1
35.0,189.0,70.0,1
23.0,194.0,87.0,1
26.0,174.0,73.0,0
38.0,169.0,68.0,0
21.0,178.0,78.0,1
25.0,178.0,78.0,1
29.0,178.0,78.0,1
29.0,164.0,51.0,0
33.0,164.0,51.0,0
25.0,171.0,59.0,0
24.0,185.0,98.0,1
39.0,163.0,93.0,1
43.0,163.0,93.0,1
46.0,163.0,93.0,1
50.0,163.0,93.0,1
27.0,188.0,78.0,1
26.0,188.0,81.0,0
20.0,170.0,56.0,1
17.0,188.0,85.0,1
24.0,164.0,69.0,0
23.0,172.0,67.0,1
27.0,172.0,67.0,1
19.0,198.0,93.0,1
19.0,193.0,120.0,0
23.0,193.0,120.0,0
27.0,193.0,120.0,0
31.0,193.0,120.0,0
22.0,181.0,84.0,1
20.0,179.0,74.0,1
25.0,189.0,87.0,1
29.0,189.0,87.0,1
23.0,171.0,58.0,1
22.0,177.0,68.0,1
26.0,177.0,72.0,1
30.0,177.0,72.0,1
27.0,183.0,74.0,1
25.0,171.0,65.0,1
23.0,170.0,81.0,1
23.0,185.0,94.0,1
25.0,166.0,57.0,1
23.0,160.0,49.0,0
20.0,165.0,59.0,1
28.0,165.0,59.0,1
24.0,180.0,75.0,0
27.0,183.0,80.0,1
20.0,178.0,72.0,0
26.0,168.0,55.0,1
28.0,179.0,70.0,1
37.0,181.0,70.0,1
22.0,195.0,115.0,1
28.0,164.0,56.0,1
23.0,170.0,65.0,1
21.0,177.0,75.0,1
24.0,182.0,81.0,1
17.0,180.0,79.0,1
21.0,180.0,79.0,1
27.0,170.0,67.0,1
31.0,170.0,67.0,1
23.0,191.0,76.0,1
23.0,178.0,70.0,1
28.0,183.0,75.0,1
32.0,183.0,75.0,1
23.0,188.0,88.0,1
27.0,188.0,88.0,1
20.0,161.0,58.0,0
24.0,161.0,58.0,0
32.0,161.0,58.0,0
19.0,185.0,75.0,1
23.0,185.0,75.0,1
25.0,185.0,75.0,1
29.0,185.0,75.0,1
23.0,170.0,60.0,0
29.0,162.0,92.0,1
22.0,181.0,82.0,1
27.0,181.0,66.0,1
24.0,186.0,77.0,1
23.0,166.0,63.0,0
26.0,140.0,48.0,1
30.0,140.0,48.0,1
22.0,169.0,53.0,0
17.0,163.0,52.0,0
22.0,163.0,52.0,0
25.0,163.0,52.0,0
33.0,213.0,135.0,1
38.0,185.0,90.0,1
19.0,190.0,80.0,1
22.0,177.0,70.0,1
17.0,178.0,65.0,1
19.0,175.0,67.0,0
18.0,168.0,58.0,1
22.0,168.0,58.0,1
28.0,177.0,85.0,1
24.0,202.0,91.0,1
24.0,179.0,74.0,1
28.0,179.0,74.0,1
21.0,180.0,47.0,1
23.0,178.0,75.0,1
27.0,178.0,75.0,1
23.0,176.0,69.0,1
21.0,180.0,68.0,1
26.0,180.0,68.0,1
19.0,186.0,78.0,1
22.0,186.0,78.0,1
26.0,186.0,78.0,1
23.0,165.0,58.0,0
25.0,187.0,65.0,0
29.0,187.0,65.0,0
24.0,177.0,70.0,1
28.0,177.0,70.0,1
27.0,162.0,65.0,0
31.0,166.0,60.0,1
22.0,170.0,50.0,0
27.0,170.0,50.0,0
35.0,170.0,50.0,0
22.0,174.0,71.0,1
24.0,162.0,65.0,1
28.0,162.0,65.0,1
22.0,173.0,74.0,1
31.0,163.0,69.0,1
20.0,176.0,74.0,1
25.0,153.0,52.0,0
23.0,168.0,66.0,1
16.0,168.0,58.0,0
17.0,177.0,73.0,1
21.0,176.0,65.0,1
26.0,176.0,65.0,1
20.0,195.0,88.0,1
28.0,195.0,88.0,1
32.0,195.0,88.0,1
21.0,185.0,63.0,1
19.0,165.0,58.0,0
23.0,180.0,70.0,1
26.0,180.0,70.0,1
31.0,180.0,70.0,1
23.0,165.0,65.0,0
27.0,190.0,110.0,1
28.0,175.0,80.0,1
22.0,188.0,80.0,1
26.0,188.0,80.0,1
20.0,186.0,80.0,1
24.0,186.0,80.0,1
28.0,186.0,80.0,1
26.0,180.0,72.0,1
30.0,180.0,72.0,1
34.0,180.0,72.0,1
23.0,172.0,62.0,1
18.0,162.0,56.0,0
20.0,182.0,77.0,1
17.0,153.0,38.0,0
41.0,177.0,70.0,1
19.0,179.0,70.0,0
23.0,179.0,70.0,0
22.0,177.0,62.0,0
29.0,177.0,62.0,0
23.0,194.0,82.0,1
21.0,165.0,53.0,0
25.0,177.0,65.0,1
25.0,173.0,81.0,1
20.0,173.0,61.0,1
24.0,168.0,59.0,1
20.0,165.0,56.0,0
21.0,182.0,72.0,1
22.0,183.0,81.0,1
26.0,183.0,81.0,1
23.0,180.0,77.0,1
27.0,180.0,77.0,1
25.0,180.0,74.0,1
26.0,202.0,100.0,1
20.0,170.0,69.0,1
16.0,162.0,56.0,0
20.0,162.0,56.0,0
22.0,204.0,100.0,1
31.0,182.0,93.0,1
34.0,192.0,83.0,1
21.0,187.0,77.0,1
23.0,180.0,64.0,1
23.0,160.0,51.0,1
23.0,190.0,91.0,1
27.0,190.0,91.0,1
22.0,160.0,55.0,1
28.0,167.0,68.0,1
19.0,198.0,100.0,1
23.0,198.0,100.0,1
27.0,198.0,100.0,1
22.0,168.0,57.0,0
33.0,151.0,52.0,0
37.0,151.0,52.0,0
21.0,180.0,61.0,0
25.0,180.0,61.0,0
29.0,180.0,61.0,0
35.0,176.0,120.0,1
47.0,176.0,120.0,1
29.0,185.0,95.0,1
33.0,185.0,95.0,1
