age,balance,duration
40,46,119
32,320,198
55,183,150
45,39,241
35,560,181
58,469,196
35,530,149
49,61,246
34,242,112
36,139,309
24,0,278
34,367,140
51,228,136
39,45248,1623
50,-84,101
32,310,144
42,132,238
50,797,354
40,71,79
46,2,187
37,231,451
34,270,159
44,274,409
40,-109,170
37,1,608
33,-60,243
35,89,145
58,-11,112
43,-509,124
39,408,53
36,58,134
57,1640,204
36,20,186
50,71,678
55,52,182
44,292,162
44,424,27
39,109,699
46,1044,43
39,983,97
34,869,1677
40,668,283
50,964,323
31,301,82
37,140,310
39,1877,185
51,1127,47
41,871,145
41,767,204
43,0,187
30,209,30
54,0,472
43,110,448
59,-76,264
47,178,169
40,-66,288
32,0,176
29,1,215
36,0,337
55,5345,278
30,-209,188
39,0,174
39,42,226
50,41,190
44,-99,111
37,17,164
46,276,157
32,-170,46
37,230,374
29,9,349
41,946,325
45,1297,233
57,-331,531
48,44,153
60,15,80
26,712,232
58,5435,118
34,507,190
55,387,918
41,0,238
50,1716,82
49,167,198
44,40,160
44,148,211
31,17,120
34,1011,136
46,1527,269
42,744,157
52,484,128
29,0,211
53,136,267
43,1335,371
38,517,288
46,459,221
48,549,427
30,83,310
44,213,158
31,203,604
42,518,198
40,3877,145
52,1236,247
45,756,179
48,157,73
45,-66,263
34,245,13
34,-144,79
46,71,416
49,505,162
50,249,129
34,0,150
40,11,43
36,639,191
59,124,26
45,82,250
36,107,146
56,473,416
42,372,121
30,46,114
30,34,289
47,935,225
33,-10,123
36,-106,130
39,471,161
56,778,149
39,170,268
42,315,259
52,3165,26
36,131,153
35,204,424
47,83,179
59,0,97
57,5431,383
38,1759,440
46,-125,23
34,0,195
28,5090,1297
38,573,87
56,1602,427
41,-137,189
52,0,195
54,193,179
61,195,179
53,288,69
47,19,105
53,25,266
46,216,524
39,190,96
56,99,155
55,2298,162
44,17,352
37,0,76
35,0,154
55,840,310
37,358,390
30,0,369
37,-325,112
36,-15,341
38,581,79
41,4070,140
48,74,315
55,141,262
28,89,174
54,0,138
30,450,526
48,310,135
31,0,36
38,384,1906
37,395,219
37,-118,147
56,5,407
51,50,121
39,285,209
49,15,92
51,653,208
43,918,193
32,243,144
29,405,65
48,1328,339
55,255,285
53,3397,231
47,2106,168
39,2877,278
31,60,389
39,2226,158
40,2880,145
40,-5,78
48,147,142
33,7,87
40,109,147
59,-119,289
30,484,703
31,1852,170
35,533,802
54,21,381
34,2434,218
32,90,57
56,4246,304
32,395,241
42,15,230
33,85,262
52,-184,392
52,660,201
52,-183,145
30,1144,252
44,1,235
35,69,235
55,220,328
33,332,116
37,240,246
42,0,293
43,0,37
38,898,132
37,123,530
31,252,175
41,65,524
41,-366,29
29,209,311
38,221,211
44,4,312
39,104,412
28,312,392
33,-349,191
41,4,284
40,-322,144
29,-150,328
38,1349,100
32,281,226
45,1259,507
33,101,392
34,848,684
41,89,333
41,140,311
35,148,128
40,200,322
60,46,202
47,201,92
46,530,739
31,0,273
49,1,260
29,43,268
31,-173,396
38,389,262
37,215,308
35,-131,467
31,783,320
41,0,160
46,80,245
40,105,189
29,182,477
49,82,310
42,0,65
54,510,196
40,242,221
53,244,197
49,92,221
40,0,64
29,948,75
36,23,400
37,710,378
39,1205,118
36,368,1597
44,1631,346
40,6,60
49,26,276
30,-48,152
57,2142,251
24,77,390
46,401,306
33,21,189
43,0,125
43,-497,234
40,369,79
44,78,13
35,226,283
47,503,109
33,372,132
31,0,144
40,0,121
36,125,95
56,4,31
40,419,112
41,322,87
53,303,593
39,607,99
44,579,198
38,3047,285
54,83,190
58,68,172
52,58,213
28,251,178
36,688,174
60,364,631
42,55,176
42,101,32
44,105,1529
51,325,254
49,198,200
47,209,135
37,183,112
34,105,314
35,109,597
35,376,207
40,-7,410
55,143,42
35,550,55
57,162,155
53,115,336
41,512,233
57,807,211
45,248,88
43,1211,208
56,7,305
31,281,206
37,88,128
30,32,122
30,115,66
54,254,66
36,144,164
55,383,343
37,569,126
38,0,59
48,3754,249
55,6920,406
59,307,250
37,-421,183
33,60,190
44,67,220
57,402,153
30,800,95
42,239,191
51,421,216
44,161,89
46,289,51
29,110,169
39,245,148
42,0,132
50,156,117
42,0,275
39,20,124
55,92,118
46,89,479
42,166,285
45,103,35
43,-454,322
42,445,202
30,4,172
47,1001,201
51,-69,216
38,42,195
57,1617,96
42,221,720
32,210,188
46,0,70
29,185,141
59,836,106
32,301,395
44,503,629
40,407,502
31,53,446
46,2303,241
43,144,131
34,205,312
39,305,275
30,251,120
56,0,333
29,8,113
40,139,91
36,184,128
37,238,200
35,0,326
35,0,292
47,222,68
31,414,215
56,223,97
57,197,32
36,-251,162
45,-139,152
47,733,268
29,0,104
57,1,852
45,97,923
31,435,159
31,0,953
37,147,416
30,3,174
58,1109,180
33,404,139
39,981,294
33,95,102
34,302,124
36,-290,128
37,259,130
35,527,143
55,102,74
34,872,105
40,490,477
42,19,158
37,16,250
42,386,168
35,539,520
44,-329,171
30,-174,113
45,68,254
35,-532,149
36,0,133
49,64,293
31,1415,485
31,147,374
39,72,425
37,-196,207
33,716,83
37,0,228
42,-246,149
56,-203,139
37,245,732
36,342,142
29,3,359
54,-248,112
38,376,1521
43,370,216
47,594,161
47,387,122
38,208,800
40,563,615
33,392,254
33,165,111
53,236,354
37,52,359
40,1265,97
37,693,327
35,118,236
49,3659,160
26,24,180
38,673,184
52,273,227
33,327,109
31,299,492
32,0,298
35,109,83
55,552,241
32,473,204
37,414,131
45,154,1138
31,344,123
38,8,125
37,78,295
38,266,287
33,98,109
38,83,140
37,45,204
29,8,233
42,263,254
40,306,184
32,233,193
47,447,126
29,872,230
53,-291,591
31,309,294
59,202,173
29,56,336
59,229,19
44,143,153
38,100,786
49,326,99
43,167,243
52,545,260
40,2100,164
32,0,255
47,192,47
33,442,463
35,267,192
27,0,388
50,377,221
44,7624,126
43,66,175
51,37,256
32,64,202
47,34,104
34,627,283
57,1013,448
43,140,127
40,8823,378
28,97,67
38,5,221
37,74,150
44,58544,144
41,169,296
37,444,401
30,542,435
32,-205,388
30,112,245
35,39,143
55,1268,223
52,-98,423
33,44,231
55,-90,634
33,0,107
40,-94,227
39,-345,69
54,-932,799
39,20,109
49,90,127
52,31,120
27,134,68
26,0,180
40,61,112
47,-5,444
31,-45,246
53,156,259
31,564,223
33,-6,566
35,528,274
46,1481,49
31,2019,380
35,1855,138
29,147,376
51,220,421
33,198,121
37,115,36
43,87,328
42,644,19
28,225,866
57,502,229
38,-32,154
39,106,56
36,301,1581
57,906,117
44,187,185
48,852,202
46,143,279
43,71,180
49,1496,218
29,703,129
53,732,530
30,21,104
41,276,60
33,0,432
47,550,113
58,268,516
31,-825,179
38,137,125
60,42,386
33,54,262
33,1716,396
52,270,294
42,803,171
30,102,614
33,188,118
46,207,485
51,1466,406
40,350,287
50,159,216
42,157,650
38,0,55
36,91,371
37,849,166
33,436,48
38,-1,72
52,297,55
29,313,144
37,310,474
34,475,559
43,61,261
49,1377,1101
33,56,236
47,0,164
50,73,93
30,660,912
44,-79,179
44,558,485
30,342,206
40,-4,311
41,225,690
34,267,362
53,46,274
35,624,163
34,1107,345
39,573,329
39,406,68
52,220,143
34,2308,1062
37,139,71
39,367,106
52,278,688
35,229,103
36,1722,349
48,-500,78
31,308,194
43,1026,224
43,548,98
39,356,607
40,164,398
58,211,103
31,19,241
41,108,203
37,308,96
44,7,238
37,16,153
39,867,481
41,277,2177
52,196,119
29,365,245
60,1310,152
32,186,418
50,148,198
56,862,198
48,359,374
29,190,51
40,4,263
42,0,229
34,42,154
23,2605,278
30,60,306
51,98,114
52,-181,94
45,118,208
41,-15,169
27,671,332
50,1557,263
36,-20,353
46,323,108
44,-171,441
47,438,46
40,316,266
36,174,223
46,442,105
58,786,165
30,-317,381
43,667,228
29,-158,128
41,72,764
44,58,113
44,396,396
59,10,133
39,2887,42
42,0,234
31,89,297
29,50,50
39,29,214
44,420,110
49,114,99
39,365,274
27,0,191
56,-24,305
43,743,134
37,0,112
54,99,283
38,22,353
31,251,212
34,615,225
35,136,283
44,2167,1273
30,309,1574
51,221,139
37,321,228
39,-33,62
33,76,256
37,42,564
46,76,245
32,1293,161
43,526,79
59,873,152
46,40,591
47,117,113
31,671,193
30,145,299
38,1807,348
44,-212,103
52,133,253
29,566,127
43,1924,244
47,145,157
43,487,548
52,-57,114
32,81,126
40,-227,161
57,2710,333
30,98,155
48,1230,152
46,78,145
59,137,66
50,354,123
50,149,74
33,126,248
39,0,130
57,8266,71
49,51,984
41,258,252
43,117,84
29,199,1689
56,219,130
46,1571,489
42,223,41
36,-79,159
29,321,196
43,2527,276
48,5,697
38,20,81
46,1045,149
44,1,281
28,3,122
28,-55,361
36,141,319
37,374,944
56,93,282
46,460,1102
34,78,35
32,135,143
33,367,22
36,248,90
35,630,17
44,-30,404
37,157,238
48,268,71
38,164,309
44,-97,408
31,53,128
35,788,297
54,1904,280
28,260,374
38,447,365
48,720,177
31,2827,238
59,0,425
29,1117,77
28,597,223
50,362,201
31,120,239
32,89,308
30,442,137
32,111,162
29,247,134
30,1,175
34,6,125
34,-947,211
41,191,67
36,-147,156
31,703,943
39,70,813
36,83,178
39,125,142
37,190,194
52,46,132
25,1348,109
42,420,94
27,96,31
42,271,84
29,1320,489
38,54,180
42,198,314
35,1094,207
41,141,146
57,207,193
36,-206,177
56,177,1040
33,176,622
41,-413,170
33,-81,267
35,3837,1084
43,870,528
36,206,183
37,316,238
51,57,61
28,1,923
43,-7,70
32,611,541
36,157,41
33,233,221
39,419,35
28,134,262
26,2087,151
40,103,135
44,281,604
34,133,65
47,1865,380
55,325,693
48,-18,11
36,49,405
31,7444,20
30,59,202
46,45,235
30,387,75
32,5,134
48,71,101
48,96,255
36,72,80
41,1715,462
49,181,161
26,20,200
38,65,56
27,81,238
51,226,418
33,1128,139
53,582,96
36,5611,39
48,177,471
27,181,231
42,0,66
61,734,204
31,322,159
37,134,200
34,10350,187
55,84,166
24,620,144
41,254,690
34,0,323
29,5903,194
42,134,82
45,1381,269
49,104,285
26,318,101
35,2151,294
49,-8,1119
44,185,249
41,1773,106
50,40,152
58,44,12
34,0,214
57,3058,268
43,130,193
38,507,95
35,844,60
49,458,381
33,-744,206
60,-2,75
33,129,128
33,411,216
47,643,155
37,391,103
34,80,494
32,10,107
36,114,147
40,1,190
57,1341,339
48,4,198
26,2770,141
30,5956,255
41,55,1120
30,131,306
35,1942,249
36,298,215
52,291,143
45,85,162
35,797,81
46,152,33
39,481,204
38,66,124
38,4586,784
31,1798,393
39,220,87
32,715,108
32,442,207
26,85,278
35,319,74
26,-29,196
33,303,149
41,2398,287
30,31,229
36,1832,154
46,2019,357
30,3,147
46,397,93
38,1161,665
24,777,131
41,47,160
28,-58,74
55,1513,60
40,121,82
38,904,475
40,697,111
54,841,284
49,7317,140
44,-95,110
32,751,64
36,250,149
35,365,256
31,1315,156
34,65,63
36,1852,362
44,-84,32
44,36,712
51,125,102
36,0,338
37,105,69
31,432,446
42,555,249
55,-24,176
57,2261,1007
33,804,266
44,-617,172
30,-1,323
37,237,175
32,514,459
33,1988,211
31,491,237
46,675,50
34,177,500
51,340,186
49,230,96
52,0,98
43,2331,364
35,0,477
27,217,319
43,186,178
49,168,513
50,145,170
33,140,139
49,-22,70
50,389,110
42,323,280
28,6,667
41,225,63
34,142,159
58,5,177
46,174,108
46,-768,194
42,30,366
40,968,213
42,47,141
33,0,982
27,91,168
43,-77,468
28,486,180
34,341,195
37,50,352
41,205,91
39,762,288
37,31,72
41,-581,218
36,-45,289
51,0,384
28,120,130
31,335,226
33,-232,208
28,785,442
31,28,101
43,2067,756
48,448,189
26,37,108
34,301,205
38,668,238
51,115,136
49,275,14
60,414,395
32,3,161
36,496,269
28,150,491
34,163,44
40,1322,26
33,1713,22
37,242,161
40,-29,406
59,381,422
39,82,147
28,21,219
30,1801,807
40,640,347
28,113,534
39,1042,58
44,240,155
39,-244,152
30,70,461
35,-339,389
31,59,314
47,1222,28
26,-41,229
25,0,30
42,6,103
30,4,32
28,20,252
46,846,369
43,338,116
38,90,20
31,406,31
29,2,190
34,2211,149
40,87,210
30,178,234
44,185,63
38,-210,21
43,388,2087
32,1,102
33,879,245
32,214,190
40,698,223
34,1601,650
30,717,42
53,255,206
39,375,66
46,587,173
32,644,477
60,0,77
40,-275,219
47,116,376
25,37,453
44,753,151
38,162,200
45,984,298
34,199,627
36,241,133
30,648,287
35,907,242
39,6322,184
46,125,119
36,90,403
22,54,626
26,-132,12
48,267,266
32,289,23
58,613,154
57,618,10
53,1786,66
29,607,240
34,586,224
32,459,202
55,298,144
50,134,263
43,34,543
44,1378,257
27,417,237
35,25,23
45,22,209
35,398,34
49,1164,72
34,487,442
46,1069,45
43,-192,1120
42,0,186
55,332,318
37,121,617
31,68,226
57,-176,275
33,527,81
43,193,74
60,7601,285
51,751,261
38,495,297
37,670,78
41,363,183
42,376,15
41,292,352
33,0,345
32,184,230
30,80,185
43,1824,296
30,2850,181
37,48,133
34,76,335
32,336,139
42,0,7
35,433,163
34,103,956
50,1164,166
34,129,71
38,5873,191
28,0,459
55,82,292
38,362,100
31,186,257
57,1216,255
50,704,233
47,205,128
39,830,246
34,-315,56
41,64,210
59,-820,43
35,538,21
31,948,91
55,1288,67
36,70,219
41,393,110
44,365,169
40,879,248
32,491,223
38,0,92
27,0,93
33,229,205
37,22,160
40,570,105
33,56,112
40,118,383
27,106,207
42,1768,193
41,213,10
37,381,985
38,1147,249
44,373,122
31,50,300
34,67,672
46,0,390
33,61,116
36,504,481
32,177,21
27,584,192
31,-732,6
41,572,8
35,105,369
50,0,393
33,832,246
48,2642,330
36,195,380
29,718,91
34,336,84
39,332,277
32,1,399
59,-138,89
50,749,297
37,14,176
33,177,75
52,557,111
43,126,170
53,359,238
37,496,137
50,72,141
53,175,49
47,430,89
48,574,341
35,69,461
42,106,515
43,0,123
40,23,179
36,42,102
39,429,272
32,88,17
44,3932,40
43,177,209
53,468,89
41,639,1187
53,2124,123
31,309,104
51,202,200
32,20,117
52,-17,37
41,-417,51
30,528,145
32,394,466
31,856,303
38,468,101
44,138,283
36,406,826
34,221,185
40,523,598
41,-52,120
56,397,185
39,-432,159
34,298,220
41,1080,192
39,-85,423
33,4012,337
52,123,306
26,498,99
54,23,27
30,-315,201
35,89,166
47,699,182
53,145,193
29,-138,271
36,491,103
35,820,287
43,1376,235
38,0,732
39,507,136
58,771,126
33,310,172
60,136,43
45,310,191
39,813,117
35,14,64
41,-97,260
40,332,149
33,5034,207
32,281,231
44,576,128
34,1891,162
29,473,180
49,216,144
31,-13,260
47,162,203
34,365,85
32,264,211
32,490,94
56,230,122
28,-9,175
35,317,292
52,458,132
35,19,130
32,536,208
42,117,105
51,368,205
47,-98,112
34,627,117
45,180,218
31,26,62
40,2171,97
53,-118,101
44,1059,286
49,186,241
47,1306,252
31,3007,283
45,-88,131
30,265,380
40,21,584
27,230,371
28,252,448
28,422,274
44,85,116
35,4286,357
29,0,215
33,60,131
32,687,61
35,40,617
31,22,483
36,-333,847
41,483,319
35,503,57
40,1245,306
42,117,147
34,33,244
41,-320,128
43,49,100
37,0,59
26,100,24
32,344,85
51,-286,70
38,57,21
51,370,167
49,470,659
31,0,327
33,767,296
30,1,307
33,0,120
41,121,390
37,190,83
33,120,250
32,2068,143
46,332,772
34,-322,198
32,274,21
43,3,929
28,6,254
46,288,166
52,146,93
34,286,134
27,114,375
32,190,352
37,111,217
29,246,45
40,108,93
47,187,165
34,457,266
25,131,237
30,1825,164
31,307,538
35,-198,72
32,739,171
28,759,710
27,777,131
37,378,514
35,337,127
34,-78,198
31,355,239
36,133,117
38,32,705
25,55,155
51,417,18
26,153,386
40,794,138
26,187,341
36,335,339
59,1407,232
26,-116,208
49,1842,124
33,329,44
31,428,75
59,181,485
38,2139,576
37,253,280
31,133,480
54,785,86
41,-45,121
44,223,93
28,2831,211
22,2412,238
31,11,399
36,211,93
37,34,144
54,222,45
28,3285,98
42,-67,128
35,670,106
29,0,121
59,96,123
46,-3,92
32,123,278
43,443,219
41,406,2462
31,535,249
26,302,210
29,-43,484
31,-346,187
37,-271,172
35,55,79
31,375,207
30,-2,136
29,-680,117
29,0,393
39,217,107
31,160,25
27,118,132
22,-1,136
31,453,384
39,169,38
25,787,164
27,78,825
28,2269,331
31,213,479
46,164,229
37,934,258
27,4,490
34,354,308
30,23,137
23,318,545
33,-305,109
43,616,168
50,2590,257
31,1868,213
32,-578,115
32,-227,646
37,1981,106
60,404,95
47,65,205
32,-1,653
34,-68,122
36,0,377
28,229,322
31,1656,208
43,1342,46
32,331,211
31,238,156
56,202,178
34,318,133
46,-1124,206
27,662,544
33,1790,143
35,198,471
29,726,200
39,183,324
48,149,71
58,-91,164
36,-9,137
33,134,91
32,0,280
32,6259,230
31,27,63
30,383,135
30,1108,261
40,117,215
35,108,200
42,479,391
60,65,1028
28,234,107
29,-53,108
33,-131,145
23,-39,142
34,139,106
29,262,134
32,160,190
55,186,241
39,-79,180
37,1113,237
26,82,654
35,321,189
26,1326,70
34,2257,62
55,1373,1087
39,304,323
27,659,111
30,491,197
28,101,224
33,33,557
43,291,150
50,218,388
26,102,89
33,88,57
47,94,209
33,-665,188
34,-331,342
33,550,84
23,151,97
29,5406,530
33,269,365
41,2457,285
27,45,352
34,610,316
53,-133,126
34,66,76
40,10,1692
27,350,24
33,546,253
40,360,73
21,6,622
31,0,133
51,22,178
26,57,404
26,1349,275
32,708,109
31,1329,134
27,7459,407
58,47,225
39,-516,86
30,0,20
29,433,247
38,9,129
29,-6,324
28,-197,2016
41,184,1054
43,336,256
43,36,163
37,277,251
46,452,113
53,-135,193
28,7,125
41,442,344
36,590,282
37,447,1170
38,49,408
32,1118,128
33,390,665
28,-125,67
52,-97,167
30,18,395
37,131,137
27,527,118
31,1129,231
47,266,128
33,687,174
46,1726,195
38,-388,412
33,92,127
44,-11,13
35,1510,61
38,171,286
56,420,76
33,513,53
45,137,274
30,21,409
34,-312,232
32,-208,325
32,2,144
27,1033,1713
48,855,241
54,781,103
29,542,338
37,-175,182
26,79,346
43,3,204
31,4471,296
55,2313,551
45,-139,663
35,300,338
57,-3313,153
49,352,188
23,105,305
49,164,1080
35,-202,1461
38,-256,116
39,1261,129
27,-503,98
37,790,262
57,0,147
38,638,150
26,47,282
46,242,332
44,469,88
44,271,94
28,948,455
37,-356,49
43,336,181
25,61,345
34,359,154
39,105,294
35,6809,750
32,59,202
31,0,81
42,0,214
31,216,128
30,2530,70
29,356,106
29,-228,279
36,198,400
41,510,231
37,223,175
32,4,179
39,338,107
31,0,94
33,328,142
30,255,119
24,304,180
55,-256,136
27,683,44
47,84,229
29,608,184
56,230,73
31,12,330
46,881,126
47,77,83
29,510,25
35,1555,26
31,68,169
29,43,179
48,244,280
59,1376,61
44,392,124
30,-396,89
50,89,210
25,10,393
32,150,1178
49,1387,161
38,253,515
29,853,177
51,91,178
29,348,185
32,43,218
43,-178,191
34,2137,245
37,1160,255
29,3986,488
39,126,211
34,6411,226
28,655,179
37,2378,460
29,15,432
25,96,176
33,191,162
34,391,192
50,31,237
35,73,134
53,0,44
41,156,47
48,231,752
32,-83,116
38,138,182
57,221,122
50,3284,51
40,4190,260
45,5694,214
34,297,407
32,-89,389
28,244,31
30,152,115
41,1696,878
36,714,277
49,315,117
32,312,262
53,913,244
44,-407,119
34,338,162
56,-435,185
27,769,317
32,120,214
43,0,71
34,9569,43
35,351,298
28,2,167
52,226,86
36,95,255
35,123,83
30,15,257
23,375,194
37,1190,268
29,487,176
28,123,97
56,2272,263
27,133,338
33,447,180
53,-864,322
47,8,64
50,107,71
31,620,166
31,42,210
37,-120,77
37,493,328
48,296,164
31,6248,154
34,484,84
32,12,153
54,154,155
31,606,111
55,560,91
27,564,257
36,771,213
33,0,173
43,757,315
42,333,190
48,418,102
41,-256,35
36,494,83
32,85,834
58,127,244
40,69,143
31,713,1534
42,-10,291
34,-294,163
34,222,149
35,86,33
57,0,144
28,26,40
50,103,79
46,-80,112
28,131,147
57,106,836
49,15,290
56,4542,148
56,172,289
49,0,345
50,107,1002
47,15,181
45,101,460
44,304,129
51,7816,76
34,0,111
25,784,104
30,2581,221
39,507,150
25,333,399
34,-220,115
25,249,149
33,-257,92
44,210,111
55,18722,128
54,42,192
43,210,88
35,325,592
27,123,105
42,-25,62
40,66,29
31,0,59
29,409,247
49,4785,160
59,121,144
37,0,346
60,231,57
25,1135,396
28,-201,286
40,-278,400
43,16,282
51,-283,38
28,-103,252
54,113,76
37,194,566
35,247,167
26,-402,127
55,-40,178
57,3867,71
39,36,109
36,2167,120
35,243,102
33,2,409
40,737,117
31,286,177
32,311,757
27,541,145
31,2963,124
28,-871,36
33,75,94
31,2597,189
25,-454,24
29,0,33
47,304,185
59,220,165
35,561,405
33,211,172
31,4509,207
42,196,325
26,124,57
34,381,102
31,184,378
30,-149,164
54,-337,288
52,210,154
40,737,102
56,75,136
25,641,53
60,78,113
43,1558,110
32,227,523
48,602,231
43,798,217
37,1047,151
52,111,179
25,-439,293
31,37,281
35,362,363
27,1,86
41,304,1147
34,-89,209
55,276,486
26,288,49
36,650,170
45,171,539
27,-302,66
31,337,51
29,891,820
26,199,125
46,997,398
32,108,112
25,40,64
54,208,255
31,6890,34
33,395,95
28,-214,140
39,496,788
37,183,194
36,199,165
56,179,306
59,434,63
30,122,501
59,371,832
27,3675,101
29,11,214
48,194,290
44,23,388
33,1011,1495
39,446,183
46,-29,322
28,957,646
31,297,480
40,888,169
37,115,74
29,177,146
29,-28,393
24,951,744
32,5,593
26,586,215
47,-1445,379
26,-23,315
28,-284,162
58,1166,493
35,244,225
29,-72,208
56,1399,80
43,0,3
45,431,29
31,130,132
34,187,379
32,142,101
33,14,188
28,-219,386
43,275,457
49,5028,891
27,118,53
30,290,446
32,1064,326
37,904,507
31,628,1083
56,13,123
26,450,1266
43,-63,160
48,164,139
31,985,178
36,616,156
24,237,200
29,380,154
23,290,163
54,104,391
24,117,470
25,276,268
36,-475,793
40,838,619
29,382,460
29,624,246
48,396,194
23,5,413
37,18,574
31,-464,256
29,330,88
56,2087,146
28,-260,170
44,236,596
48,684,139
30,458,177
32,324,577
41,1052,335
30,37,262
37,454,115
30,573,116
28,34,136
33,341,289
41,31,529
42,-189,247
50,424,72
23,250,166
38,3165,152
31,387,220
35,855,241
52,944,198
36,134,98
28,2845,182
27,2420,391
